plot_id,lon,lat,certainty
72.07,-51.37132316,64.14041521,certain
73,-51.37134844,64.14046396,certain
73.01,-51.37132846,64.14047795,certain
73.02,-51.37130983,64.14049128,certain
73.03,-51.37129407,64.14050304,certain
73.04,-51.37127416,64.14051883,likely
73.05,-51.37125326,64.14053427,likely
73.06,-51.37122972,64.14054939,certain
73.07,-51.37121529,64.1405604,certain
73.08,-51.37119634,64.14057632,likely
73.09,-51.37130953,64.14052797,uncertain
73.1,-51.37123878,64.1405097,uncertain
74,-51.3711811,64.14058757,possible
74.01,-51.37116331,64.14060206,certain
74.02,-51.37114108,64.14061714,possible
74.03,-51.37111967,64.14063295,possible
74.04,-51.3711973,64.14061308,certain
74.05,-51.37123098,64.14062331,possible
74.06,-51.37113079,64.14059287,certain
75,-51.3711079,64.14064165,uncertain
76,-51.36887657,64.14214569,certain
76.01,-51.36885476,64.14216089,likely
76.02,-51.36883297,64.14217607,likely
76.03,-51.36881113,64.14219129,likely
76.04,-51.3687893,64.1422065,likely
76.05,-51.36876749,64.1422217,likely
76.06,-51.36803355,64.14273312,likely
76.07,-51.36801172,64.14274833,likely
76.08,-51.36798987,64.14276355,likely
76.09,-51.36796808,64.14277874,likely
76.1,-51.36794626,64.14279394,likely
77,-51.36792443,64.14280915,certain
77.01,-51.36790221,64.14282424,likely
77.02,-51.36788053,64.14283819,certain
77.03,-51.36785779,64.14285443,likely
77.04,-51.3678337,64.14286754,certain
77.05,-51.36781125,64.14288175,certain
77.06,-51.36779062,64.14289545,certain
77.07,-51.3677705,64.14290941,certain
77.08,-51.36775482,64.14292211,certain
77.09,-51.3678719,64.14287804,uncertain
77.1,-51.36780275,64.14285863,uncertain
78,-51.36774373,64.14293192,certain
78.01,-51.36772818,64.14294397,certain
78.02,-51.36771393,64.142956,certain
78.03,-51.36769501,64.14296834,certain
78.04,-51.36767741,64.14298113,certain
78.05,-51.36773302,64.14297161,certain
78.06,-51.36777142,64.1429764,certain
78.07,-51.36781193,64.14298048,certain
78.08,-51.36765747,64.14296756,certain
78.09,-51.36761609,64.14296229,certain
78.1,-51.36757582,64.14295855,likely
79,-51.36765411,64.14299695,certain
79.01,-51.3676357,64.1430098,certain
79.02,-51.36761923,64.1430193,certain
79.03,-51.367603,64.14303125,likely
79.04,-51.3675878,64.14304305,certain
79.05,-51.36756599,64.14305672,certain
79.06,-51.36764379,64.14302925,likely
79.07,-51.36768461,64.14302725,likely
79.08,-51.36772542,64.14302526,likely
79.09,-51.36756147,64.14303431,certain
79.1,-51.36751991,64.14303532,certain
80,-51.36754985,64.14306692,certain
81,-51.36707061,64.1432284,certain
81.01,-51.36704909,64.14324417,likely
81.02,-51.36702741,64.14326024,certain
81.03,-51.36700747,64.14327465,likely
81.04,-51.36699909,64.1432866,certain
81.05,-51.36696565,64.14330529,likely
81.06,-51.36634944,64.14375665,likely
81.07,-51.36632842,64.14377206,likely
81.08,-51.36630737,64.14378747,likely
81.09,-51.36628633,64.14380288,likely
81.1,-51.36626531,64.14381828,likely
82,-51.36624426,64.1438337,certain
83,-51.36597069,64.14401785,certain
83.01,-51.36594177,64.14403059,likely
83.02,-51.36591283,64.14404333,likely
83.03,-51.3658839,64.14405607,likely
83.04,-51.36585539,64.14406882,certain
83.05,-51.36582746,64.14408171,certain
83.06,-51.3651893,64.14436196,possible
83.07,-51.36516037,64.1443747,possible
83.08,-51.36513143,64.14438744,possible
83.09,-51.36510249,64.14440018,possible
83.1,-51.36507355,64.14441293,possible
84,-51.36504461,64.14442567,possible
100,-51.39027909,64.13611497,likely
100.01,-51.39028151,64.13609852,likely
100.02,-51.39028416,64.13608058,likely
100.03,-51.39028804,64.13606269,certain
100.04,-51.39029181,64.13604513,certain
100.05,-51.39029396,64.13602693,certain
100.06,-51.39029441,64.13600875,certain
100.07,-51.39029518,64.13599129,certain
100.08,-51.39029997,64.13597343,likely
100.09,-51.39032858,64.13604727,certain
100.1,-51.3902535,64.13604361,certain
101,-51.39030155,64.13596274,certain
101.01,-51.39030355,64.13594464,certain
101.02,-51.3903062,64.1359269,likely
101.03,-51.39030327,64.1359155,certain
101.04,-51.3903103,64.13589093,certain
101.05,-51.39031306,64.13587365,certain
101.06,-51.39031565,64.13585545,certain
101.07,-51.39031783,64.13583735,likely
102,-51.39032016,64.13581937,likely
103,-51.39035649,64.13548014,certain
103.01,-51.39035616,64.13546219,likely
103.02,-51.39035242,64.13544539,certain
103.03,-51.39035551,64.13542628,likely
103.04,-51.39035519,64.13540829,likely
103.05,-51.39035487,64.13539041,likely
103.06,-51.39033821,64.13447065,likely
103.07,-51.39033789,64.1344527,likely
103.08,-51.39033756,64.13443475,likely
103.09,-51.39033724,64.13441681,likely
103.1,-51.39033691,64.13439886,likely
104,-51.39033659,64.13438091,likely
104.01,-51.39033677,64.13437198,likely
104.02,-51.39033775,64.13435395,certain
104.03,-51.39033775,64.13433661,certain
104.04,-51.39033844,64.13431825,certain
104.05,-51.39033823,64.13429925,certain
104.06,-51.3903392,64.1342832,certain
104.07,-51.39037895,64.13430186,certain
104.08,-51.39029692,64.1342966,certain
105,-51.39033894,64.13426423,certain
105.01,-51.39034073,64.13424678,certain
105.02,-51.39033738,64.1342296,certain
105.03,-51.39033542,64.13421208,certain
105.04,-51.39033146,64.1341942,certain
105.05,-51.39032963,64.13417755,certain
105.06,-51.39032849,64.13415942,certain
105.07,-51.39032916,64.13414242,certain
105.08,-51.39032464,64.13412675,certain
105.09,-51.39036854,64.13415924,certain
105.1,-51.39028312,64.13416017,certain
106,-51.39032455,64.1341087,certain
106.01,-51.39032489,64.13409068,likely
106.02,-51.39032523,64.13407281,likely
106.03,-51.39032872,64.13405555,certain
106.04,-51.39032846,64.1340381,certain
106.05,-51.39032918,64.1340196,certain
106.06,-51.39033115,64.13385784,certain
106.07,-51.39032967,64.13384034,likely
106.08,-51.39033039,64.13382272,certain
106.09,-51.39033033,64.13380568,likely
106.1,-51.39033146,64.13378786,certain
107,-51.39033099,64.13377098,certain
200,-51.37369169,64.1369163,certain
200.01,-51.37443852,64.13712169,likely
200.02,-51.37440229,64.13711322,certain
200.03,-51.37436759,64.13710423,certain
200.04,-51.37433338,64.13709446,certain
200.05,-51.37429976,64.13708531,certain
200.06,-51.37386231,64.13696291,certain
200.07,-51.37382793,64.13695351,certain
200.08,-51.37379369,64.136944,certain
200.09,-51.37376,64.13693478,certain
200.1,-51.37372448,64.13692548,certain
200.11,-51.3744559,64.13710547,certain
200.12,-51.37442064,64.13709693,certain
200.13,-51.37438949,64.13708854,certain
200.14,-51.37435525,64.1370793,certain
200.15,-51.37431953,64.13707003,certain
200.16,-51.37388373,64.13694801,certain
200.17,-51.37384945,64.13693816,certain
200.18,-51.3738153,64.13692818,likely
200.19,-51.3737799,64.13691792,certain
200.2,-51.37374566,64.136908,likely
201,-51.37447302,64.13713118,certain
